problem_id,level,accuracy,solved_count,error_count,rating,tag1,tag2,tag3,tag4,tag5
926159,,0.93,229,31,3.1,,,,,
917968,,0.9,109,13,2.0,,,,,
905681,E,0.33,113,261,3.5,Basic Programming,Implementation,,,
911826,M,0.56,11,46,0.0,,,,,
903637,E,0.81,312,410,4.1,Ad-Hoc,,,,
903638,M-H,0.06,30,648,4.0,String Algorithms,Dynamic Programming,,,
909783,E,0.19,181,1025,5.0,Math,,,,
903640,E-M,0.18,656,4151,5.0,Dynamic Programming,,,,
909786,M,0.3,28,428,0.0,Algorithms,,,,
903904,E,0.44,37,1269,5.0,Sorting,Math,,,
911825,E,0.89,63,19,0.0,,,,,
915939,E,0.75,336,183,0.0,Implementation,Basic Programming,Ad-Hoc,Algorithms,
915940,E,0.82,512,400,4.0,Implementation,Basic Programming,Ad-Hoc,Math,
915941,E,0.86,297,100,4.0,Ad-Hoc,Sieve,Math,,
915942,M,0.84,188,190,4.8,Data Structures,BIT,Dynamic Programming,,
928864,E,0.72,137,155,1.5,Basic Programming,,,,
903656,E,0.32,465,1207,4.0,Ad-Hoc,,,,
903657,E,0.63,793,539,2.3,Ad-Hoc,,,,
903658,,0.09,18,251,0.0,,,,,
936428,,0.94,96,18,3.6,,,,,
936430,,0.93,104,28,3.4,,,,,
936432,E-M,0.91,74,109,3.9,Math,,,,
936433,E,0.33,223,507,3.8,Ad-Hoc,,,,
903666,M,0.28,279,924,5.0,Math,Number Theory,,,
936435,E,0.61,215,261,3.8,Implementation,,,,
909781,E,0.43,27,342,0.0,Algorithms,Math,,,
911861,M-H,0.15,14,1519,0.0,Extended Euclid,Math,,,
936442,M-H,0.94,9,19,4.4,Dynamic Programming,,,,
903676,E,0.54,3506,3406,3.4,Basic Programming,Ad-Hoc,,,
903639,E,0.36,1020,13346,0.0,,,,,
905733,E,0.67,335,228,3.0,Ad-Hoc,Data Structures,Implementation,,
909784,M,0.93,75,67,0.0,Algorithms,DFS,,,
905736,E,0.73,27,144,4.0,Implementation,Data Structures,Brute Force,Algorithms,
905737,M,0.9,229,72,0.0,Algorithms,,,,
903698,,0.94,260,20,1.0,,,,,
912517,,0.92,12,34,0.0,,,,,
907809,E,0.84,4333,1924,3.4,Ad-Hoc,Basic Programming,Implementation,,
907810,E,0.43,451,702,0.0,Implementation,Data Structures,Ad-Hoc,,
907811,E,0.85,351,203,3.8,Implementation,Data Structures,Dynamic Programming,Algorithms,Hashing
907812,E,0.77,51,155,5.0,Implementation,Combinatorics,Math,,
907813,M,0.54,156,327,0.0,Bit manipulation,Algorithms,,,
907814,E,0.48,252,671,4.5,Data Structures,,,,
907815,E,0.55,134,406,1.5,Geometry,Math,,,
926249,,0.88,111,60,3.1,,,,,
926250,,0.93,37,13,3.2,,,,,
926251,,0.93,54,4,3.2,,,,,
926252,,0.9,75,33,3.5,,,,,
907821,H,0.46,3,265,0.0,Algorithms,,,,
907822,E,0.34,200,1581,3.0,Math,,,,
907823,M,0.37,18,105,0.0,Binary Search,Algorithms,,,
907824,M,0.43,13,238,1.0,Algorithms,,,,
916618,H,0.57,21,307,0.0,Algorithms,,,,
920115,,0.91,405,59,3.2,,,,,
928907,,0.9,21,8,4.2,,,,,
903739,,1.0,166,0,0.0,,,,,
920126,E,0.84,1375,1003,3.5,Ad-Hoc,Math,,,
920127,E,0.91,1012,725,3.7,Math,Number Theory,,,
920130,E,0.89,967,390,3.8,Modular exponentiation,Math,Number Theory,,
920131,,0.95,326,38,3.4,,,,,
920132,,0.87,194,53,3.6,,,,,
920133,,0.9,332,71,3.2,,,,,
905803,E,0.4,500,1672,4.3,Data Structures,,,,
928332,E,0.59,16,80,3.5,,,,,
928333,E,0.76,84,40,3.4,,,,,
908136,H,0.47,9,103,0.0,Bitmask,Dynamic Programming,Algorithms,,
928336,E,0.63,163,297,3.9,,,,,
928337,M,0.11,94,1432,3.7,,,,,
928338,E,0.57,180,159,3.6,,,,,
928339,E,0.65,152,269,3.8,,,,,
925536,E,0.84,195,122,3.4,,,,,
913251,M,0.71,60,109,0.0,Combinatorics,Dynamic Programming,Math,,
905821,H,0.1,10,470,0.0,Algorithms,,,,
918110,E,0.26,334,2567,4.2,Ad-Hoc,Basic Programming,Modular exponentiation,Number Theory,
918111,E,0.92,446,236,3.6,Ad-Hoc,Basic Programming,,,
905824,M,0.28,9,1138,0.0,Algorithms,Math,Number Theory,,
918113,M,0.63,100,119,5.0,Graph Theory,Set,Algorithms,Greedy,
918114,M,0.42,142,449,4.5,Recursion,Dynamic Programming,Memoization,,
905827,M,0.77,138,261,4.0,Math,,,,
928356,M,0.37,21,1167,3.9,Combinatorics,Dynamic Programming,Math,,
905829,E,0.93,609,138,4.8,Algorithms,,,,
905830,M,0.86,140,126,0.0,Data Structures,Sorting,Algorithms,,
903786,,0.2,116,621,0.0,,,,,
909931,E,0.92,1193,395,4.0,Basic Programming,,,,
903788,M,0.34,309,766,5.0,,,,,
909933,M,0.09,98,1245,0.0,Algorithms,Math,,,
909934,M,0.33,139,1386,0.0,Dynamic Programming,Algorithms,,,
916080,E,0.75,273,2860,4.3,Binary Search,Algorithms,Math,Number Theory,
928372,E,0.63,909,791,3.3,Basic Programming,Greedy,,,
928373,E-M,0.48,287,558,3.7,Greedy,,,,
928374,E-M,0.53,265,1370,3.6,Ad-Hoc,Greedy,,,
928375,E,0.84,262,55,3.6,Sorting,Greedy,,,
928377,,0.89,100,17,3.4,,,,,
