Id,solved_status
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,0
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,0
535,0
536,0
537,0
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,1
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,1
575,0
576,0
577,1
578,1
579,0
580,0
581,1
582,0
583,0
584,1
585,0
586,0
587,0
588,1
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,0
615,0
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,1
627,1
628,1
629,1
630,0
631,1
632,0
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,1
658,1
659,1
660,0
661,1
662,1
663,1
664,1
665,0
666,0
667,1
668,0
669,1
670,1
671,1
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,1
695,1
696,1
697,0
698,0
699,1
700,1
701,1
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,0
730,1
731,1
732,0
733,1
734,0
735,1
736,1
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,0
758,0
759,0
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,0
782,0
783,1
784,0
785,1
786,0
787,0
788,1
789,1
790,0
791,1
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,0
811,0
812,1
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,0
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,1
834,1
835,0
836,0
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,0
872,0
873,1
874,1
875,1
876,1
877,0
878,1
879,1
880,0
881,0
882,1
883,0
884,1
885,1
886,1
887,0
888,0
889,0
890,1
891,0
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,1
908,1
909,1
910,0
911,0
912,1
913,0
914,1
915,0
916,0
917,0
918,0
919,0
920,1
921,1
922,1
923,1
924,0
925,1
926,0
927,1
928,0
929,0
930,1
931,0
932,1
933,1
934,1
935,0
936,1
937,0
938,1
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,1
948,1
949,1
950,0
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,0
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,1
975,0
976,1
977,1
978,1
979,0
980,0
981,1
982,0
983,0
984,1
985,1
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,0
995,0
996,0
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,0
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,1
1022,0
1023,1
1024,1
1025,1
1026,1
1027,0
1028,0
1029,1
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,1
1046,0
1047,0
1048,0
1049,1
1050,0
1051,1
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,0
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,0
1069,0
1070,1
1071,0
1072,1
1073,1
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,1
1089,1
1090,1
1091,0
1092,0
1093,1
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,1
1109,0
1110,0
1111,1
1112,0
1113,0
1114,1
1115,1
1116,1
1117,1
1118,0
1119,1
1120,0
1121,1
1122,1
1123,0
1124,1
1125,1
1126,1
1127,1
1128,0
1129,1
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,1
1137,0
1138,0
1139,0
1140,0
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,1
1150,0
1151,1
1152,0
1153,0
1154,1
1155,1
1156,0
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,0
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,0
1185,0
1186,1
1187,1
1188,0
1189,0
1190,1
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,1
1202,0
1203,1
1204,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,0
1219,0
1220,1
1221,1
1222,1
1223,1
1224,1
1225,0
1226,0
1227,1
1228,1
1229,0
