user_id,skills,solved_count,attempts,user_type
1427919,C++,0,11,W
1034704,C,3,11,NA
903633,C|PHP|Java|Python|Text|JavaScript|C++|Perl|C#|Objective-C|Haskell|Clojure|Ruby,66,260,S
1034709,C|C++,9,23,NA
1165784,Java,3,9,W
1034713,C++,5,4,NA
903642,Python,4,3,W
1165787,Java,5,4,NA
1034705,C|Java|C++,4,8,W
1034717,Java,10,4,W
942912,C++,3,0,S
1187623,C,0,1,NA
1335719,C#,3,5,NA
1165800,C|JavaScript|Java|C++,44,32,W
1165803,C,2,9,W
1165804,C|Java,1,6,NA
1034735,Java,2,1,W
903665,Python|C#|C++,29,51,W
1427956,C|C++,0,2,NA
903669,C|Java|Python|Text|C++|PHP|Ruby,18,242,W
1165814,C,1,3,W
1034744,C,5,5,W
1034745,C++,5,3,NA
1034746,C++,0,2,NA
1427963,C++,5,23,NA
1318700,C,1,0,NA
1034752,C|C++,79,36,W
1165825,C++,2,2,W
1427972,C,0,1,NA
1034757,C++,43,24,NA
1034758,Python,2,1,NA
1427975,C++,1,0,NA
1174233,PHP,2,15,W
1427980,JavaScript(Rhino),0,1,W
903693,Python|C|C++,33,58,S
903694,Python|PHP|C++,38,23,S
1034768,Java,1,0,NA
903700,Text|C++,5,8,S
1187633,Python|C++,14,20,NA
1165853,Python|Java,6,11,NA
1034782,C,0,1,NA
903713,C|C++,14,4,S
1165859,C,2,14,NA
903725,Python|Text|C|PHP|C++,10,12,S
1034799,C|Java,10,21,W
1034802,C|C++,1,7,NA
1034803,C++,1,0,NA
1100256,Java,0,4,NA
1165882,Java,0,4,W
1034812,Java,0,4,W
1165886,C|Java|C++,37,53,W
903743,Java,3,9,NA
1034816,Java,0,8,NA
1034817,Python,8,10,W
903746,C|Java|C++,10,24,S
1034822,C|C++,6,11,W
1165895,C++,10,5,NA
1143950,C,5,8,NA
1165904,C,1,20,NA
903761,C|PHP|C++,15,26,S
1384250,C,6,11,W
1034835,Python|Java|C++,21,15,W
1428057,Java,10,12,W
1165914,Java,0,2,NA
1335723,C++,1,5,W
1428060,Java,0,7,W
903775,C++,1,6,NA
1165922,C++,0,1,NA
903779,C++,2,3,W
1034852,C++,3,6,NA
